[2018-05-18 10:43:23] [INFO] 64, 插入一条repertory信息到数据仓库, id: 54242, name: 来一桶老坛酸菜牛肉味面120g
[2018-05-18 10:43:23] [INFO] 65, 插入一条repertory信息到数据仓库, id: 50340, name: 伊利冷饮老冰棍棒冰 85g
[2018-05-18 10:43:23] [INFO] 66, 插入一条repertory信息到数据仓库, id: 59999, name: 榄菊黑蚊香1*60
[2018-05-18 10:43:23] [INFO] 67, 插入一条repertory信息到数据仓库, id: 59664, name: 红塔山（硬经典1956）20支
[2018-05-18 10:43:23] [INFO] 68, 插入一条repertory信息到数据仓库, id: 67760, name: 卢云堡小麦啤酒500
[2018-05-18 10:43:24] [INFO] 69, 插入一条repertory信息到数据仓库, id: 9445, name: 利群（软红长嘴小包）
[2018-05-18 10:43:24] [INFO] 70, 插入一条repertory信息到数据仓库, id: 89643, name: 雄狮（薄荷）
[2018-05-18 10:43:24] [INFO] 71, 插入一条repertory信息到数据仓库, id: 77404, name: 9.8度珠江0度精品啤酒
[2018-05-18 10:43:24] [INFO] 72, 插入一条repertory信息到数据仓库, id: 79853, name: 重庆啤酒1646白啤酒
[2018-05-18 10:43:24] [INFO] 73, 插入一条repertory信息到数据仓库, id: 73139, name: 雪碧纤维+柠檬味汽水 500毫升
[2018-05-18 10:43:24] [INFO] 74, 插入一条repertory信息到数据仓库, id: 75844, name: 同享九制话梅45g
[2018-05-18 10:43:24] [INFO] 75, 插入一条repertory信息到数据仓库, id: 85822, name: 香港铁尺葡萄夹心饼450克
[2018-05-18 10:43:24] [INFO] 76, 插入一条repertory信息到数据仓库, id: 32596, name: 雪碧 1250毫升 PET 瓶
[2018-05-18 10:43:24] [INFO] 77, 插入一条repertory信息到数据仓库, id: 46805, name: 双喜(硬精品好日子)小盒
[2018-05-18 10:43:24] [INFO] 78, 插入一条repertory信息到数据仓库, id: 16083, name: 白沙(精品二代)
[2018-05-18 10:43:24] [INFO] 79, 插入一条repertory信息到数据仓库, id: 62123, name: 好日子(硬吉祥出口HK)小盒
[2018-05-18 10:43:24] [INFO] 80, 插入一条repertory信息到数据仓库, id: 5694, name: 怡宝饮用纯净水555毫升
[2018-05-18 10:43:24] [INFO] 81, 插入一条repertory信息到数据仓库, id: 14391, name: 美怡乐奶昔杯
[2018-05-18 10:43:24] [INFO] 82, 插入一条repertory信息到数据仓库, id: 24598, name: 东北大板新天地雪糕
[2018-05-18 10:43:24] [INFO] 83, 插入一条repertory信息到数据仓库, id: 30441, name: 雪屋冰淇淋
[2018-05-18 10:43:24] [INFO] 84, 插入一条repertory信息到数据仓库, id: 71238, name: 香瓜子285克
[2018-05-18 10:43:24] [INFO] 85, 插入一条repertory信息到数据仓库, id: 32932, name: 中囯劲酒520ML
[2018-05-18 10:43:24] [INFO] 86, 插入一条repertory信息到数据仓库, id: 28471, name: 和路雪可爱多芒果味 62g
[2018-05-18 10:43:24] [INFO] 87, 插入一条repertory信息到数据仓库, id: 37446, name: 旺仔小馒头原味蜂蜜16g
[2018-05-18 10:43:24] [INFO] 88, 插入一条repertory信息到数据仓库, id: 40558, name: 山楂
[2018-05-18 10:43:24] [INFO] 89, 插入一条repertory信息到数据仓库, id: 40595, name: 奥利奥草莓夹心饼干
[2018-05-18 10:43:24] [INFO] 90, 插入一条repertory信息到数据仓库, id: 84186, name: 旺旺黑白配香草味饼干60g
[2018-05-18 10:43:24] [INFO] 91, 插入一条repertory信息到数据仓库, id: 38870, name: 清风卷纸3层*10卷
