store_id,name,count
6907992513652,优酸乳果粒酸奶饮品-黄桃味,3
6931678808503,西琪哈密乌梅,1
6909548500130,深晖豆逗纯味奶饮品200ml,6
6901715287820,魔法士章保罗海鲜味,8
6944021520441,52044碧桂泉,1
4891132016603,九块双喜,10
6941174488222,力诚鸡肉肠,1
6921326700334,26g井水豆干牛肉味,3
6922956301243,手撕牛肉,6
6911920279268,水口桥花生200克,5
6939536100936,0093上海语诺毛巾,1
6910772051022,脆宝58G,3
6924160714710,25g爱辣鸡蛋,7
6970377460377,俏仔香辣鸭小腿38g,5
6937221714536,25g贤哥香辣豆干,6
6934172100357,友我香鸭翅30克,5
6956654700749,我刀之郎牛奶雪饼80克,2
6925678102969,26g 手撕素肉卷-烧烤味,3
6935201407218,防风火机,2
6907992512174,果粒优酸乳酸奶饮品—芒果粒,9
6911920280257,水口桥咸香脆花生450克,3
6935563600319,金厨娘多味排爪100克,3
4897058720013,猪猪侠魔力球布丁果冻,1
6957288300152,龙岩泡鸭翅根,5
6935041525462,旺子小馒头16克,6
5010017116378,进口百威500mL,1
6919838200695,四周零食面,5
6940553000031,凰巢野山椒凤爪180克,9
6950750267069,辣条,1
6901028100267,777长白山,14
6970441500275,桃李菠菠面包,2
6930953093702,光明键能红枣酸奶,5
6925678103669,好心肠,1
6970972896366,防风打火机,1
6970664240033,法式伯爵奶茶（香草味）,1
6970707970040,肉松面包,9
6937221706722,125g贤哥南乳花生五香味（共）,5
88011967,蓝爱喜,9
6907878200034,芬达橙 2升 PET 瓶,8
6933432680356,杏鲍菇,1
6925678100583,金磨房香辣豆筋,4
4902210254708,万事发4毫克,5
4891028164517,维他番石榴汁,2
6901028316156,盒世纪塔山,4
6924187860063,核桃瓜子18g,2
6935633701281,芳味村白糖308克,3
6931273220786,口味王青苹果槟榔,3
6970356078807,冠桥皇牌豆豉/盒 160g,1
6909493500414,和路雪 奶昔杯草莓口味雪糕,4
6901028219143,黄鹤楼（奇景）,3
6925999701278,鸡爪,2
6935633706057,芳味村山楂125克,1
6935507201152,谢记嚼味鱼霸糖醋味,2
6934513401761,幺六吧酒鬼花生120克,1
6907878025019,可口可乐 2.5升 PET 瓶,2
6925909980151,张新发20元,6
6944021520151,52015碧桂泉毛巾,1
6907992104232,每益添活性乳酸菌饮品-百香果味,9
6925370901402,淳风派手撕素肉(香辣味)25g,2
6902538007367,维生素饮料（海盐青芒口味）,5
6901028250009,钻石牌香烟,18
6954877900441,金升一次性杯,2
6937221706715,南乳花生,7
6933795204886,集味果酱香花生,1
6920180209250,碧泉蜜桃味型茶饮料,7
6937221710095,贤哥盐焗鸡爪65克,4
6924160712693,无穷爱辣鸡爪  30g,10
6922956300901,18g路路野山椒鱼仔,7
6926032346029,简约系列 A5 80页,1
6937519000266,冰喉爽袋装,1
6959957700881,胃动力乳酸菌饮品340ml,6
6927018499357,鱼仙贝（香辣味）,2
6957788400048,洞庭湖鱼排,1
